1,ID0420,29,"<resource key=""ID0420"" value=""29""/>"
2,ID0937,6,"<resource key=""ID0937"" value=""6""/>"
3,ID0997,13,"<resource key=""ID0997"" value=""13""/>"
4,ID0998,16,"<resource key=""ID0998"" value=""16""/>"
5,ID3641,24,"<resource key=""ID3641"" value=""24""/>"
6,ID3716,26,"<resource key=""ID3716"" value=""26""/>"
7,ID3718,28,"<resource key=""ID3718"" value=""28""/>"
8,ID3846,7,"<resource key=""ID3846"" value=""7""/>"
9,ID3854,2,"<resource key=""ID3854"" value=""2""/>"
10,ID3998,26,"<resource key=""ID3998"" value=""26""/>"
11,ID4109,30,"<resource key=""ID4109"" value=""30""/>"
12,ID4132,6,"<resource key=""ID4132"" value=""6""/>"
13,ID4140,15,"<resource key=""ID4140"" value=""15""/>"
14,ID4142,13,"<resource key=""ID4142"" value=""13""/>"
15,ID4160,11,"<resource key=""ID4160"" value=""11""/>"
16,ID4162,17,"<resource key=""ID4162"" value=""17""/>"
17,ID4163,24,"<resource key=""ID4163"" value=""24""/>"
18,ID4167,8,"<resource key=""ID4167"" value=""8""/>"
19,ID4219,13,"<resource key=""ID4219"" value=""13""/>"
20,ID4287,6,"<resource key=""ID4287"" value=""6""/>"
21,ID4291,10,"<resource key=""ID4291"" value=""10""/>"
22,ID4326,17,"<resource key=""ID4326"" value=""17""/>"
23,ID4355,29,"<resource key=""ID4355"" value=""29""/>"
24,ID4385,28,"<resource key=""ID4385"" value=""28""/>"
25,ID4429,9,"<resource key=""ID4429"" value=""9""/>"
26,ID4442,16,"<resource key=""ID4442"" value=""16""/>"
27,ID4445,7,"<resource key=""ID4445"" value=""7""/>"
28,ID4491,28,"<resource key=""ID4491"" value=""28""/>"
29,ID4493,27,"<resource key=""ID4493"" value=""27""/>"
30,ID4528,5,"<resource key=""ID4528"" value=""5""/>"
31,ID4529,27,"<resource key=""ID4529"" value=""27""/>"
32,ID4618,10,"<resource key=""ID4618"" value=""10""/>"
33,ID4622,8,"<resource key=""ID4622"" value=""8""/>"
34,ID4641,27,"<resource key=""ID4641"" value=""27""/>"
35,ID4718,5,"<resource key=""ID4718"" value=""5""/>"
36,ID4783,23,"<resource key=""ID4783"" value=""23""/>"
37,ID4794,13,"<resource key=""ID4794"" value=""13""/>"
38,ID4799,13,"<resource key=""ID4799"" value=""13""/>"
39,ID4820,26,"<resource key=""ID4820"" value=""26""/>"
40,ID4851,11,"<resource key=""ID4851"" value=""11""/>"
41,ID4872,2,"<resource key=""ID4872"" value=""2""/>"
42,ID4873,16,"<resource key=""ID4873"" value=""16""/>"
43,ID4882,11,"<resource key=""ID4882"" value=""11""/>"
44,ID4890,20,"<resource key=""ID4890"" value=""20""/>"
45,ID4932,20,"<resource key=""ID4932"" value=""20""/>"
46,ID4955,24,"<resource key=""ID4955"" value=""24""/>"